rho,seq_length,rep,seed,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
200,2938,68,100068,310,0.2,0.7173907855062573,1.9069693048723444,0.005863297300588747,0.008173086996721127,0.011181127977563618,0.37231805567936893
200,2938,69,100069,313,0.25,0.7040543209785908,1.9420604002229775,0.005683487402794139,0.008072512636375064,0.011037675820132637,0.3768615665411027
200,2938,70,100070,335,0.25,0.5913695348518269,2.3100932672117733,0.005189720783385409,0.008775766213059557,0.011988739040407643,0.41755813729138813
200,2938,71,100071,332,0.26,0.6023549100598641,2.1615234278481292,0.004955556503539217,0.008226971210455838,0.010711551480425179,0.3846583411336135
200,2938,72,100072,294,0.2,0.5883085866850585,2.100253949943413,0.004999317719760452,0.008497781322435052,0.010499836787948988,0.3572710074081068
200,2938,73,100073,300,0.22,0.5924290018866122,2.028307616831248,0.005572399689682412,0.009406021096092355,0.01130254073461092,0.3373870027334882
200,2938,74,100074,303,0.21,0.6621001727956398,1.9477430180578907,0.0056038172715008145,0.008463700058919117,0.010914795965037931,0.35557579933327477
200,2938,75,100075,336,0.27,0.6666559780049688,2.007451459700209,0.0063627191509888475,0.009544231749079769,0.012772849847315037,0.37731394754427516
200,2938,76,100076,300,0.25,0.7289597951309725,1.7825917352770053,0.005795092429270327,0.007949810768684602,0.010330283869583628,0.33472771070574026
200,2938,77,100077,324,0.24,0.678277451848038,1.95982518869876,0.005741881652443987,0.008465387780177018,0.011253084292986985,0.3687388691527401
200,2938,78,100078,317,0.21,0.7021067872531992,1.9825492729435041,0.005259678839236047,0.007491280435862332,0.01042757245864376,0.38859406992043066
200,2938,79,100079,309,0.23,0.7083393341773482,1.997882785554571,0.005910224522075829,0.008343775697476763,0.01180793583141779,0.3964228624267049
200,2938,80,100080,315,0.22,0.6445955752133533,2.109318145155031,0.005960128187843053,0.009246306392764678,0.012571806534067326,0.3952168075685448
200,2938,81,100081,320,0.2,0.646047440407104,2.028030198640749,0.005692528988166981,0.008811317299825316,0.011544620694640505,0.3718353044407259
200,2938,82,100082,306,0.24,0.7311623326780553,1.945352547496528,0.005591413293813798,0.007647293964575448,0.010877270095226625,0.39145083543531234
200,2938,83,100083,319,0.28,0.6939794918173775,1.9078478353431132,0.005907836605808688,0.008512984426005704,0.01127125327995291,0.36028316134713634
200,2938,84,100084,303,0.24,0.6239505094387985,2.097494562166632,0.00529184208722582,0.008481188823750582,0.011099610001800679,0.3795714034663372
200,2938,85,100085,317,0.24,0.7042573558373255,1.9533106356043772,0.005580099004580366,0.007923380506187142,0.010899666733372228,0.3805553948992305
200,2938,86,100086,306,0.21,0.7592468121953426,1.8491738561308317,0.0062272493226908365,0.008201877469442256,0.011515266643128325,0.37347839006647765
200,2938,87,100087,318,0.24,0.625650089820995,2.106959325085265,0.005442615903160294,0.008699137092296244,0.011467370330020946,0.38339163258579845
200,2938,88,100088,305,0.21,0.7285237125591014,1.869234755198977,0.006424079707220858,0.008817941813664309,0.012008113058905697,0.36534485284592344
200,2938,89,100089,314,0.23,0.5892867037502547,2.089381783210318,0.005603725157677641,0.009509335815682264,0.01170832126256903,0.35460171298529053
200,2938,90,100090,339,0.24,0.7427826136422181,1.8202974915780377,0.006734754135103596,0.009066924846396011,0.012259256058523892,0.3555204775043156
200,2938,91,100091,307,0.2,0.6280846610973394,2.09090636528356,0.005443146435507411,0.008666262325205617,0.011381109529172966,0.3801391364986574
200,2938,92,100092,322,0.29,0.6713266327476087,1.9678652128719527,0.005479283226301626,0.008161873757154532,0.010782490852511768,0.367439436302491
200,2938,93,100093,304,0.21,0.6767470576295025,2.0186340294891374,0.006002862466054758,0.008870171504079349,0.012117582448321215,0.3863035785576753
200,2938,94,100094,308,0.23,0.7131065932253221,1.884728675840141,0.005473521481720486,0.007675600721855903,0.010316102894425618,0.3626894604414225
200,2938,95,100095,311,0.26,0.6680046240352643,1.9132779311035049,0.006152258364644889,0.009209903858869259,0.011770980155522005,0.3474561157803224
200,2938,96,100096,330,0.26,0.6916642453178098,1.9397128283896927,0.00589240842232854,0.00851917453044152,0.01142958020690214,0.36954889454001394
200,2938,97,100097,302,0.24,0.7013353224763342,1.8956079055671102,0.005814125398575202,0.008290079242046722,0.011021302069497679,0.36013891318447655
200,2938,98,100098,305,0.24,0.6689187804445866,2.086532688169063,0.005796819868440474,0.008665954728596059,0.012095254142928938,0.4021301898194639
