chrom	win	n_sites	fst
1	52800000	14193	0.012667303365008351
1	52900000	13022	0.04214978011014945
1	53000000	14816	0.029713161298357785
1	53100000	15046	0.00986730427973996
1	53200000	13153	0.02701680180278921
1	53300000	14210	0.01422853159762451
1	53400000	14196	0.01879405974912787
1	53500000	13314	0.028756236711631737
1	53600000	13780	0.01138920392775481
1	53700000	13834	0.011162172132970214
1	53800000	14576	0.019729452166944984
1	53900000	11996	0.019339262786176068
1	54000000	13405	0.008372395086237607
1	54100000	11663	0.010592628735229906
1	54200000	11116	0.030428563103444346
1	54300000	11567	0.0033297831305848934
1	54400000	10328	0.0076199493147948
1	54500000	10330	0.005981834631667411
1	54600000	10784	0.009210863121675341
1	54700000	9851	0.014381106944039754
1	54800000	8909	0.007995858829179884
1	54900000	9059	0.00434215689787206
1	55000000	5732	0.04240619435052515
1	55100000	3859	0.12041914569738421
1	55200000	6997	0.011170046385673439
1	55300000	8437	0.007646050973622369
1	55400000	10176	0.01553223110125904
1	55500000	7739	0.01116956990808179
1	55600000	9081	0.02161470356727136
1	55700000	9158	0.015209039041539451
1	55800000	10831	0.010026703876424198
1	55900000	10152	0.02502669219508394
1	56000000	11939	0.01494973222020135
1	56100000	11822	0.008018991958133841
1	56200000	12807	0.00869001292938942
1	56300000	12257	0.009527033081757539
1	56400000	11838	0.006803876910184883
1	56500000	12443	0.015196439481453095
1	56600000	13044	0.004924726784552388
1	56700000	12376	0.009477662006724966
1	56800000	11623	0.021659870104596513
1	56900000	13677	0.012268062103224852
1	57000000	14078	0.021895886225968338
1	57100000	13567	0.029257945388009608
1	57200000	13703	0.013027621836183955
1	57300000	13720	0.024995759400592944
1	57400000	13029	0.0245840532380971
1	57500000	13325	0.021350054879944486
1	57600000	14033	0.015595736814139375
1	57700000	11221	0.013929584734224227
1	57800000	12954	0.03228984368879151
1	57900000	12592	0.012179276938781694
1	58000000	14242	0.01598882471143801
1	58100000	13728	0.015668195213473558
1	58200000	13269	0.012422693758107162
1	58300000	12457	0.007642039113709896
1	58400000	11243	0.005992036046483045
1	58500000	9061	0.008255511562929876
1	58600000	11828	0.0056085829253186325
1	58700000	12863	0.026953821121544982
1	58800000	11903	0.013005870441073675
1	58900000	14297	0.01040255897356425
1	59000000	13691	0.011585378264375047
1	59100000	14085	0.01142226076257356
1	59200000	13307	0.014149040760532982
1	59300000	14423	0.012788873857110136
1	59400000	14042	0.012642029808564749
1	59500000	12756	0.015266541631680366
1	59600000	13389	0.0119351378739362
1	59700000	13477	0.011249936164211194
1	59800000	12177	0.005940780800570495
1	59900000	11789	0.004964649879298807
1	60000000	11617	0.013286224834245994
1	60100000	12301	0.023707516568760988
1	60200000	12852	0.012608574552285283
1	60300000	12054	0.01188094504102048
1	60400000	11429	0.01476503296708503
1	60500000	12196	0.01074489873337458
1	60600000	13253	0.010812078010062485
1	60700000	12148	0.017317197918428118
1	60800000	13302	0.01563375342653313
1	60900000	12410	0.010820914077494076
1	61000000	12093	0.021048599174729014
1	61100000	12286	0.013609358474783236
1	61200000	10862	0.009284861140724021
1	61300000	9531	0.00857390786753125
1	61400000	9196	0.014082617085794997
1	61500000	11090	0.014693467594967832
1	61600000	12995	0.011692731531773502
1	61700000	10736	0.008433553160972516
1	61800000	495	0.24287697049865462
1	61900000	208	0.5510170442684106
1	62000000	8437	0.018582207418727757
1	62100000	12057	0.026984813397469005
1	62200000	8229	0.02055112070705647
1	62300000	11583	0.0272033235535417
1	62400000	9589	0.04046106142687417
1	62500000	5018	0.10831009352438067
1	62600000	9950	0.043502253261652614
1	62700000	2998	0.20335585076014842
1	62800000	1918	0.1886318988461806
1	62900000	3674	0.16072454404745426
1	63000000	2877	0.21288927414306852
1	63100000	6562	0.1384543746758028
1	63200000	12165	0.012908585026121116
1	63300000	12922	0.01915527105674783
1	63400000	12248	0.023273449313663017
1	63500000	12621	0.04339106748816216
1	63600000	13505	0.014832431481054679
1	63700000	13951	0.016865986819434853
1	63800000	12572	0.017430061162313683
1	63900000	12405	0.02266545220493929
1	64000000	13894	0.016203724761790772
1	64100000	13720	0.015139915858456922
1	64200000	12783	0.012781097378440045
1	64300000	10877	0.01473610287740504
1	64400000	12123	0.009316758815816268
1	64500000	12124	0.00910451463258197
1	64600000	11470	0.02199375254925964
1	64700000	11466	0.008867810202053286
1	64800000	10922	0.012034660734605178
1	64900000	11638	0.00807474781400723
1	65000000	11457	0.0061896537355445045
1	65100000	8201	0.011966059297462967
1	65200000	10769	0.008655062418131389
1	65300000	11447	0.009003045216801848
1	65400000	8948	0.007970604516781696
1	65500000	11974	0.00973380987811617
1	65600000	12114	0.011077128676832313
1	65700000	11856	0.017621338516723102
1	65800000	12130	0.013837460094291737
1	65900000	11677	0.014804210437714595
1	66000000	12237	0.00920194486930032
1	66100000	10416	0.03534154456485878
1	66200000	9066	0.006220897430400501
1	66300000	9820	0.005023241044689547
1	66400000	10040	0.0142396284296087
1	66500000	10391	0.017599746867497816
1	66600000	11403	0.007353873164796434
1	66700000	10477	0.00526053177523346
1	66800000	8276	0.007473002244276963
1	66900000	9764	0.005654755222947217
1	67000000	10968	0.008256771583693175
1	67100000	11014	0.007925080498904396
1	67200000	9963	0.019139201374471636
1	67300000	10275	0.01984874837819812
1	67400000	11560	0.007031089407904303
1	67500000	11400	0.01641678368826953
1	67600000	11620	0.016740070418824242
1	67700000	10085	0.02172135102631618
1	67800000	9525	0.014010678882272328
1	67900000	9182	0.015371169853644317
1	68000000	11156	0.009765127584385115
1	68100000	10909	0.009883779092919768
1	68200000	11377	0.028633891659625824
1	68300000	8945	0.01553297380544774
1	68400000	10158	0.011227104891243097
1	68500000	9166	0.011938511750816054
1	68600000	10081	0.008392059835692394
1	68700000	11063	0.009582353951218238
1	68800000	10799	0.009677703616624272
1	68900000	9230	0.008508339136145794
1	69000000	9639	0.007860093130983072
1	69100000	10185	0.009799502782537408
1	69200000	9322	0.016485001956300496
1	69300000	5696	0.012553797345378903
1	69400000	7735	0.008118376635468915
1	69500000	7629	0.00877998809982784
1	69600000	9144	0.008486192520268535
1	69700000	10715	0.007714614715344725
1	69800000	11838	0.012318150516077292
1	69900000	13071	0.00844147873302589
1	70000000	12833	0.016010619954664553
1	70100000	13051	0.012141720260565732
1	70200000	13125	0.007152593343399321
1	70300000	11463	0.02550521987583025
1	70400000	12053	0.0059040727323715955
