go_id	cat	term	k_raw	k_clustered	null_mean_raw	p_window_raw	p_window_clustered	fdr_clustered
GO:0031324	biological_process	obsolete negative regulation of cellular metabolic process	2	2	8.692	0.9855	0.98	0.99
GO:0023051	biological_process	regulation of signaling	2	2	12.006	0.9825	0.9825	0.99
GO:0010646	biological_process	regulation of cell communication	2	2	11.898	0.9825	0.9825	0.99
GO:0000003	biological_process	obsolete reproduction	3	2	10.3955	0.963	0.983	0.99
GO:0010605	biological_process	negative regulation of macromolecule metabolic process	2	2	9.3905	0.9865	0.983	0.99
GO:0009892	biological_process	negative regulation of metabolic process	2	2	10.2535	0.988	0.9845	0.99
GO:0012505	cellular_component	endomembrane system	3	3	13.9705	0.9875	0.9865	0.99
GO:0048523	biological_process	negative regulation of cellular process	3	3	16.282	0.9905	0.9885	0.99
GO:0048519	biological_process	negative regulation of biological process	3	3	18.1975	0.991	0.989	0.99
GO:0060429	biological_process	epithelium development	2	1	7.919	0.962	0.99	0.99
