t_inv,p_start,plateau,rep,s_het,s_hom,seed,seq_length,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
650000.0,0.022,0.0,64,4.041609956736588e-05,2.4146359805423068e-05,900064,37148,3003,9.88,0.7226387453467273,1.7343796604318091,0.006080863323430478,0.008414803887262972,0.010546525666023595,0.31277523661691253
650000.0,0.022,0.0,65,4.041609956736588e-05,2.4146359805423068e-05,900065,37148,3044,14.52,0.7483667654755805,1.7425951238708068,0.0060132498538937465,0.008035164215332811,0.010478659874012084,0.32966551839001146
650000.0,0.022,0.0,66,4.041609956736588e-05,2.4146359805423068e-05,900066,37148,3055,11.89,0.7575395564826082,1.731394265388088,0.006017924312769916,0.007944039702312333,0.010419399644669383,0.33000151202448313
650000.0,0.022,0.0,67,4.041609956736588e-05,2.4146359805423068e-05,900067,37148,3066,10.4,0.7310579257448381,1.7597810340114137,0.006151174191088316,0.008414072229394401,0.010824719678377719,0.327222928018327
650000.0,0.022,0.0,68,4.041609956736588e-05,2.4146359805423068e-05,900068,37148,3070,6.29,0.7450448564748553,1.757654688805815,0.005917916113186307,0.007943033311023244,0.010401653004301398,0.33371410205293195
650000.0,0.022,0.0,69,4.041609956736588e-05,2.4146359805423068e-05,900069,37148,3106,7.01,0.736055154618776,1.749931775487107,0.006136318412861764,0.008336764404618481,0.010738138575173414,0.32608977262865535
650000.0,0.022,0.0,70,4.041609956736588e-05,2.4146359805423068e-05,900070,37148,3077,8.16,0.7627837513893324,1.6975247442888888,0.006287011490159182,0.008242193778653564,0.01067235757217377,0.31930666815854236
650000.0,0.022,0.0,71,4.041609956736588e-05,2.4146359805423068e-05,900071,37148,3026,11.33,0.734268519128496,1.7489686773234885,0.005852765655303851,0.007970879184975143,0.010236303806841117,0.3247736145228325
650000.0,0.022,0.0,72,4.041609956736588e-05,2.4146359805423068e-05,900072,37148,3042,8.23,0.7510186076541366,1.6965289175787164,0.006196266275423532,0.008250483027015853,0.01051214491727379,0.3128543500812966
650000.0,0.022,0.0,73,4.041609956736588e-05,2.4146359805423068e-05,900073,37148,3119,8.05,0.7412885601296216,1.7012752949107244,0.006156075243046009,0.008304559889565216,0.010473178724605708,0.30963485333075724
650000.0,0.022,0.0,74,4.041609956736588e-05,2.4146359805423068e-05,900074,37148,2999,10.71,0.7531397484907085,1.7065524516014774,0.006105219753255134,0.008106357107681528,0.010418877737483316,0.31798907622225947
650000.0,0.022,0.0,75,4.041609956736588e-05,2.4146359805423068e-05,900075,37148,3095,13.1,0.7392608100854757,1.746213528162207,0.0059894957045264485,0.008102006251127966,0.010458938426113513,0.32634167151843807
650000.0,0.022,0.0,76,4.041609956736588e-05,2.4146359805423068e-05,900076,37148,3100,11.28,0.7471374345453013,1.7363011767130916,0.0061013338812609215,0.008166280525047066,0.010593753197552793,0.32660247316296387
650000.0,0.022,0.0,77,4.041609956736588e-05,2.4146359805423068e-05,900077,37148,3040,10.6,0.738078222942833,1.7485154641841107,0.0061677302693637125,0.008356472359761558,0.010784371754898882,0.32660877428824076
650000.0,0.022,0.0,78,4.041609956736588e-05,2.4146359805423068e-05,900078,37148,3062,6.88,0.770574095213897,1.6630557525499656,0.00612552344670787,0.00794929843184975,0.010187087005427217,0.30918319088375334
650000.0,0.022,0.0,79,4.041609956736588e-05,2.4146359805423068e-05,900079,37148,3082,10.44,0.7412148213917532,1.7062448578743477,0.006200365176871079,0.008365139225398744,0.010579341199979449,0.31160626512839396
650000.0,0.022,0.0,80,4.041609956736588e-05,2.4146359805423068e-05,900080,37148,3125,7.68,0.7305874155737123,1.7249571464601106,0.006027707308848837,0.008250494301377238,0.010397536799168643,0.31338537742094263
650000.0,0.022,0.0,81,4.041609956736588e-05,2.4146359805423068e-05,900081,37148,3196,6.7,0.7456668479527258,1.7313552907504242,0.006199235680813928,0.008313680161367387,0.010733079494586002,0.32391650273800987
