win,n_assayed,n_hi,n_hi9,mb,rate,dist_edge
125,40370,41,12,72.540617,10.156056477582363,7.454980000000006
126,28931,61,33,72.64061699999999,21.084649683730255,7.354980000000012
127,42515,93,37,72.740617,21.87463248265318,7.254980000000003
128,42476,52,15,72.840617,12.242207364158583,7.154980000000009
129,49691,38,8,72.940617,7.647260067215391,7.0549800000000005
130,49868,63,1,73.040617,12.633352049410444,6.954980000000006
131,36484,9,3,73.14061699999999,2.4668347768884993,6.854980000000012
132,44820,76,16,73.240617,16.956715751896475,6.754980000000003
133,41831,87,50,73.340617,20.797972795295355,6.654980000000009
134,35866,25,1,73.440617,6.970389784196732,6.5549800000000005
135,33085,25,3,73.540617,7.55629439322956,6.454980000000006
136,37339,12,3,73.64061699999999,3.2137979056750314,6.354980000000012
137,43722,44,11,73.740617,10.06358355061525,6.254980000000003
138,42398,106,71,73.840617,25.00117930091042,6.154980000000009
139,50412,151,63,73.940617,29.95318574942474,6.0549800000000005
140,43143,85,53,74.040617,19.70192151681617,5.954980000000006
141,54505,143,80,74.14061699999999,26.236125126135217,5.854980000000012
142,54036,69,21,74.240617,12.769264934488119,5.754980000000003
143,52234,91,34,74.340617,17.421602787456447,5.654980000000009
144,47099,181,75,74.440617,38.429690651606194,5.5549800000000005
145,60086,163,106,74.540617,27.1277835103019,5.454980000000006
146,57592,80,35,74.64061699999999,13.890818169190165,5.354980000000012
147,59501,45,15,74.740617,7.562898102552898,5.254980000000003
148,45510,75,41,74.840617,16.47989452867502,5.154980000000009
149,34734,42,15,74.940617,12.091898428053204,5.0549800000000005
150,40021,24,3,75.040617,5.996851652882237,4.954980000000006
151,52310,61,14,75.14061699999999,11.661250238960045,4.854980000000012
152,43728,2,0,75.240617,0.4573728503476034,4.754980000000003
153,55295,103,64,75.340617,18.627362329324534,4.654980000000009
154,44963,99,39,75.440617,22.018103774214353,4.5549800000000005
155,40254,66,4,75.540617,16.3958861231182,4.454980000000006
156,42316,6,0,75.64061699999999,1.4179033935154552,4.354980000000012
157,48153,35,1,75.740617,7.268498328245385,4.254980000000003
158,48585,103,39,75.840617,21.19995883503139,4.154980000000009
159,47452,106,63,75.940617,22.338362977324454,4.0549800000000005
160,44561,19,10,76.040617,4.263818136935885,3.954980000000006
161,46355,15,0,76.14061699999999,3.2358968827526695,3.854980000000012
162,44303,31,8,76.240617,6.997268807981401,3.7549800000000033
163,37381,44,16,76.340617,11.770685642438671,3.654980000000009
164,42446,61,18,76.440617,14.3712010554587,3.5549800000000005
165,47076,72,29,76.540617,15.294417537598777,3.454980000000006
166,32248,19,7,76.64061699999999,5.891838253535103,3.354980000000012
167,46628,15,2,76.740617,3.2169511881273056,3.2549800000000033
168,40511,45,14,76.840617,11.108094097899336,3.154980000000009
169,33048,13,2,76.940617,3.933672234325829,3.0549800000000005
170,39632,36,7,77.040617,9.083568833266048,2.954980000000006
171,38761,109,34,77.14061699999999,28.12104950852661,2.854980000000012
172,32804,42,18,77.240617,12.803316668698939,2.7549800000000033
173,35356,32,13,77.340617,9.050797601538635,2.654980000000009
174,31978,36,11,77.440617,11.257739696041028,2.5549800000000005
175,27185,5,3,77.540617,1.8392495861688432,2.454980000000006
176,33712,27,18,77.64061699999999,8.009017560512577,2.354980000000012
177,33866,77,23,77.740617,22.73666804464655,2.2549800000000033
178,44997,25,5,77.840617,5.5559259506189305,2.154980000000009
179,51474,59,28,77.940617,11.46209736954579,2.0549800000000005
180,35917,16,5,78.040617,4.454715037447448,1.9549800000000062
181,43629,51,12,78.14061699999999,11.689472598500997,1.8549800000000118
182,37684,34,15,78.240617,9.02239677316633,1.7549800000000033
183,42181,37,17,78.340617,8.7717218652948,1.654980000000009
184,51748,23,7,78.440617,4.444616217051867,1.5549800000000005
185,46686,7,0,78.540617,1.4993788287709378,1.4549800000000062
186,24814,4,2,78.64061699999999,1.6119932296284356,1.3549800000000118
187,42859,28,11,78.740617,6.5330502344898385,1.2549800000000033
188,37227,2,1,78.840617,0.537244473097483,1.154980000000009
189,38129,22,0,78.940617,5.769886438144194,1.0549800000000005
190,45438,27,7,79.040617,5.942162947312822,0.9549800000000062
